collection_id,collection_title,status,data_items_count,data_items_ids,creation_status,error_message,timestamp
10.34847/nkl.e7312nam,fr:Collection Code et Données|en:Code and Data Collection,private,2,10.34847/nkl.58cdttno;10.34847/nkl.da4c54bg,SUCCESS,,2025-08-30 17:34:39
10.34847/nkl.7a4f2sf9,fr:Collection Documents|en:Documents Collection,private,1,10.34847/nkl.b408g27m,SUCCESS,,2025-08-30 17:34:39
10.34847/nkl.fc95iw9b,fr:Collection Multimédia|en:Multimedia Collection,private,2,10.34847/nkl.2e06r1xj;10.34847/nkl.a9183xn3,SUCCESS,,2025-08-30 17:34:39
