collection_id,collection_title,status,data_items_count,data_items_ids,creation_status,error_message,timestamp
10.34847/nkl.be7av98c,fr:Collection de Code et Données|en:Code and Data Collection,private,2,10.34847/nkl.1cfb78t9;10.34847/nkl.19bfs90i,SUCCESS,,2025-06-05 09:40:14
10.34847/nkl.2bfdykq4,fr:Collection de Documents|en:Documents Collection,private,1,10.34847/nkl.5aef22cx,SUCCESS,,2025-06-05 09:40:14
10.34847/nkl.d21918j7,fr:Collection Multimédia|en:Multimedia Collection,private,2,10.34847/nkl.f8b2tm34;10.34847/nkl.d52az2o3,SUCCESS,,2025-06-05 09:40:14
