identifier,files,title,status,response
10.34847/nkl.1ee07t07,"kingfisher.jpg,f4ca1456fa44f99a11be0b58cacd11fe86162e2e",Martin-pêcheur,OK,"{""code"":201,""message"":""Data created"",""payload"":{""id"":""10.34847\/nkl.1ee07t07""}}"
10.34847/nkl.66beu9o7,"owl-1.jpg,79e190850ce0eb840eb853671749f0789fb91217;owl-2.jpg,23c741d8cffe6c06ec9c9008597c74571dc348e0",Chouette,OK,"{""code"":201,""message"":""Data created"",""payload"":{""id"":""10.34847\/nkl.66beu9o7""}}"
10.34847/nkl.488ciois,"peafowl.jpg,45af95f4e603e9b7687c8d0415af03ac387aac78",Paon,OK,"{""code"":201,""message"":""Data created"",""payload"":{""id"":""10.34847\/nkl.488ciois""}}"
