collection_id,collection_title,status,data_items_count,data_items_ids,creation_status,error_message,timestamp
10.34847/nkl.948e1iey,fr:Collection de Code et Données|en:Code and Data Collection,private,2,10.34847/nkl.a1fd48xw;10.34847/nkl.b4815a9y,SUCCESS,,2025-06-05 14:34:42
10.34847/nkl.d1fe9i5v,fr:Collection de Documents|en:Documents Collection,private,1,10.34847/nkl.ffe86j1z,SUCCESS,,2025-06-05 14:34:42
10.34847/nkl.e3db4y09,fr:Collection Multimédia|en:Multimedia Collection,private,2,10.34847/nkl.9626xmez;10.34847/nkl.2d5ct4ug,SUCCESS,,2025-06-05 14:34:42
